V50000000,Contexto (Baixa Prod),Contexto (Baixo Valor),Contexto (Alto Prod),Contexto (Alto Valor),Contexto (Perda de Prod.)
Hortifrutigranjeiro com baixa produtividade por estiagem,Contexto (Baixa Prod),,,,
Hortifrutigranjeiro com baixa produtividade por estiagem,Contexto (Baixa Prod),,,,
Criacao de gado de corte com baixa taxa de lotacao,Contexto (Baixa Prod),,,,
Cultivo de uva apresenta alta produtividade,,,Contexto (Alto Prod),,
Producao de arroz com resultados superiores a media,,,Contexto (Alto Prod),,
Hortifrutigranjeiro com baixa produtividade por estiagem,Contexto (Baixa Prod),,,,
Fruticultura apresenta perda de produto por pragas,,,,,Contexto (Perda de Prod.)
Criacao de gado de corte com baixa taxa de lotacao,Contexto (Baixa Prod),,,,
Silvicultura com crescimento acima do projetado,,,Contexto (Alto Prod),,
Cultura de cafe com quebra de safra significativa,,,,,Contexto (Perda de Prod.)
Mandioca com bom desempenho produtivo,,,,,
Perda parcial da producao de feijao por geadas,,,,,Contexto (Perda de Prod.)
Cultura de cafe com quebra de safra significativa,,,,,Contexto (Perda de Prod.)
Cultivo de uva apresenta alta produtividade,,,Contexto (Alto Prod),,
Mandioca com bom desempenho produtivo,,,,,
Leite com qualidade reduzida e baixo valor pago ao produtor,,Contexto (Baixo Valor),,,
Producao de mel aumentou em relacao ao ano anterior,,,Contexto (Alto Prod),,
Suinocultura enfrenta perdas por doencas respiratorias,,,,,Contexto (Perda de Prod.)
Perda parcial da producao de feijao por geadas,,,,,Contexto (Perda de Prod.)
Producao de arroz com resultados superiores a media,,,Contexto (Alto Prod),,
Alta producao de cana de acucar registrada no ultimo ano,,,Contexto (Alto Prod),,
Producao de mel aumentou em relacao ao ano anterior,,,Contexto (Alto Prod),,
Producao de arroz com resultados superiores a media,,,Contexto (Alto Prod),,
Pesca artesanal com producao estavel,,,,,
Cultura de cafe com quebra de safra significativa,,,,,Contexto (Perda de Prod.)
Producao de milho baixa por falta de chuva no periodo de plantio,Contexto (Baixa Prod),,,,
